time_step,hour_of_day,day_of_week,cpu_util_percent,mem_util_percent,net_in_mbps,net_out_mbps,disk_io_percent
495,17.25,1,50.96,55.88,82.59,164.5,21.65
496,17.33,1,53.78,59.34,71.88,145.19,15.09
497,17.42,1,49.29,54.13,76.53,144.23,28.09
498,17.5,1,38.71,51.39,57.03,115.24,26.07
499,17.58,1,54.13,59.46,81.18,154.57,25.58
500,17.67,1,49.36,57.21,73.84,145.02,22.84
501,17.75,1,53.16,56.34,86.93,165.84,19.55
502,17.83,1,49.69,55.18,72.48,138.45,20.58
503,17.92,1,49.95,58.06,75.89,141.79,26.84
504,18.0,1,45.72,57.23,54.86,114.68,23.82
505,18.08,1,64.11,63.43,145.68,268.5,27.85
506,18.17,1,45.43,54.93,63.29,131.27,23.35
507,18.25,1,41.21,55.41,52.32,102.7,24.55
508,18.33,1,44.78,53.6,77.76,152.4,24.84
509,18.42,1,33.63,53.59,55.02,116.73,21.16
510,18.5,1,42.54,51.45,51.05,99.73,19.24
511,18.58,1,46.66,58.1,64.73,128.87,28.4
512,18.67,1,41.86,54.91,65.27,129.95,18.52
513,18.75,1,47.14,61.04,71.85,136.0,18.31
514,18.83,1,39.75,50.64,58.7,116.78,17.68
515,18.92,1,43.76,50.02,52.51,108.24,16.17
516,19.0,1,36.75,54.04,54.68,116.94,21.52
517,19.08,1,42.77,51.3,74.89,142.73,20.64
518,19.17,1,39.8,54.14,73.98,144.89,24.46
519,19.25,1,37.8,54.38,55.5,109.27,9.67
520,19.33,1,29.15,48.88,65.05,128.05,18.13
521,19.42,1,36.86,52.05,46.3,90.38,18.19
522,19.5,1,38.09,52.94,54.23,106.77,18.14
523,19.58,1,39.85,54.61,69.95,143.49,15.8
524,19.67,1,42.01,55.08,71.29,138.95,20.68
525,19.75,1,43.28,52.04,66.86,130.72,17.76
526,19.83,1,40.13,56.71,54.2,103.3,26.11
527,19.92,1,33.41,50.14,46.12,98.47,20.86
528,20.0,1,56.8,61.6,77.36,153.48,62.43
529,20.08,1,60.08,63.46,78.47,151.89,52.37
530,20.17,1,58.94,63.84,86.78,175.71,62.59
531,20.25,1,39.59,54.92,61.77,118.52,23.06
532,20.33,1,42.21,54.26,56.36,106.23,18.93
533,20.42,1,41.11,53.63,61.49,120.21,19.53
534,20.5,1,38.05,52.94,45.66,87.96,15.58
535,20.58,1,34.33,52.65,58.91,117.24,17.35
536,20.67,1,36.87,49.36,64.97,127.32,21.48
537,20.75,1,37.63,53.22,52.86,110.91,16.73
538,20.83,1,30.97,47.17,45.88,90.3,17.89
539,20.92,1,29.31,51.89,52.23,105.67,27.51
540,21.0,1,28.17,48.41,49.66,100.31,13.13
541,21.08,1,27.49,46.54,54.17,111.66,18.2
542,21.17,1,25.42,47.3,39.29,75.07,12.22
543,21.25,1,30.84,48.9,46.72,89.61,11.77
544,21.33,1,26.18,46.46,44.65,87.48,19.74
545,21.42,1,26.66,43.38,38.46,73.81,15.04
546,21.5,1,31.59,47.17,50.96,104.8,24.29
547,21.58,1,29.51,48.0,42.01,88.73,19.65
548,21.67,1,30.12,45.18,54.49,113.53,14.39
549,21.75,1,33.15,48.74,47.3,94.4,14.78
550,21.83,1,31.16,48.02,54.41,105.63,20.67
551,21.92,1,33.22,48.39,66.51,124.99,14.09
552,22.0,1,27.96,49.13,51.98,110.08,12.67
553,22.08,1,33.11,48.14,56.14,109.93,11.4
554,22.17,1,28.52,48.01,38.31,75.34,19.62
555,22.25,1,27.65,46.74,59.3,120.48,13.67
556,22.33,1,31.99,49.16,62.31,120.47,19.44
557,22.42,1,23.64,48.85,42.12,80.48,10.7
558,22.5,1,33.61,50.48,52.25,99.72,11.85
559,22.58,1,25.37,47.16,38.94,80.54,19.22
560,22.67,1,21.94,43.34,55.65,104.8,14.85
561,22.75,1,28.35,49.01,55.29,109.09,14.37
562,22.83,1,24.61,47.24,38.46,74.9,14.21
563,22.92,1,32.89,50.78,63.26,119.14,16.29
564,23.0,1,24.17,43.46,54.71,106.04,24.18
565,23.08,1,26.67,45.83,46.84,95.11,17.73
566,23.17,1,20.48,47.09,36.83,77.89,15.68
567,23.25,1,28.23,46.33,40.93,88.3,14.04
568,23.33,1,22.58,48.3,47.76,92.05,18.79
569,23.42,1,27.66,46.35,44.77,97.55,12.31
570,23.5,1,23.67,45.95,39.66,94.99,17.99
571,23.58,1,17.95,42.71,36.45,73.52,16.59
572,23.67,1,25.54,44.8,39.1,71.54,20.45
573,23.75,1,25.35,44.74,57.64,105.05,8.46
574,23.83,1,28.1,46.24,56.47,109.16,21.53
575,23.92,1,30.45,49.0,52.15,100.41,19.03
576,0.0,2,47.04,57.95,64.64,126.37,41.76
577,0.08,2,43.38,54.69,60.67,121.75,35.23
578,0.17,2,41.34,53.54,57.88,107.75,41.73
579,0.25,2,35.39,53.35,47.63,94.87,42.61
580,0.33,2,41.13,53.59,66.94,127.96,37.22
581,0.42,2,25.87,45.56,40.91,93.81,13.06
582,0.5,2,24.48,44.02,38.77,72.89,11.07
583,0.58,2,27.45,49.89,41.43,80.77,15.12
584,0.67,2,29.23,47.49,58.11,114.76,12.95
585,0.75,2,22.52,43.98,35.96,70.96,24.31
586,0.83,2,22.56,43.82,52.22,109.66,19.09
587,0.92,2,25.09,48.72,42.8,81.94,11.85
588,1.0,2,23.53,44.44,33.27,65.31,12.04
589,1.08,2,20.05,46.01,42.82,93.17,9.09
590,1.17,2,22.44,44.64,49.02,92.29,15.01
591,1.25,2,21.75,42.37,34.23,75.79,22.54
592,1.33,2,30.44,48.03,52.03,101.39,22.4
593,1.42,2,32.32,49.48,56.33,108.3,18.87
594,1.5,2,22.69,44.98,42.99,84.84,14.5
595,1.58,2,28.61,47.59,45.66,86.59,19.36
596,1.67,2,29.93,47.83,57.97,118.88,18.6
597,1.75,2,21.84,43.26,39.2,81.24,17.19
598,1.83,2,27.82,47.54,43.54,92.83,17.75
599,1.92,2,61.77,63.88,138.58,265.32,27.22
600,2.0,2,30.05,45.6,37.01,79.33,11.83
601,2.08,2,27.04,49.77,49.18,91.26,16.28
602,2.17,2,26.17,39.38,45.79,87.57,17.48
603,2.25,2,21.29,44.73,47.65,100.02,13.58
604,2.33,2,30.26,49.55,60.36,118.92,12.57
605,2.42,2,35.69,49.85,55.87,113.81,18.94
606,2.5,2,26.29,42.58,54.13,106.99,33.16
607,2.58,2,22.63,44.99,37.66,75.64,12.36
608,2.67,2,27.35,47.65,46.63,97.19,16.27
609,2.75,2,33.05,47.57,53.23,97.18,23.31
610,2.83,2,28.75,46.28,62.14,120.25,24.28
611,2.92,2,27.68,49.38,37.99,78.71,14.59
612,3.0,2,30.92,49.15,52.58,105.69,21.59
613,3.08,2,31.97,46.37,47.8,89.57,21.16
614,3.17,2,26.63,47.88,44.56,83.95,14.63
615,3.25,2,31.05,47.11,49.53,97.19,20.26
616,3.33,2,30.4,47.13,52.06,103.4,16.91
617,3.42,2,30.24,49.0,62.06,129.49,15.05
618,3.5,2,29.27,48.38,65.33,123.21,24.19
619,3.58,2,36.47,50.61,64.01,122.76,21.71
620,3.67,2,31.27,48.06,44.69,98.41,11.09
621,3.75,2,26.91,46.61,45.89,97.92,16.22
622,3.83,2,35.18,49.27,59.3,111.17,16.72
623,3.92,2,37.16,53.9,56.34,114.79,18.45
624,4.0,2,56.39,57.24,80.45,158.98,62.43
625,4.08,2,57.6,60.44,83.55,161.37,61.84
626,4.17,2,57.67,58.03,90.38,166.82,66.42
627,4.25,2,59.12,63.48,90.18,169.35,65.93
628,4.33,2,40.42,52.71,58.62,112.38,15.25
629,4.42,2,36.55,49.33,63.6,127.12,18.74
630,4.5,2,40.28,54.5,77.14,146.7,12.28
631,4.58,2,34.36,45.88,44.13,88.11,14.6
632,4.67,2,36.82,52.13,55.68,107.22,10.82
633,4.75,2,41.91,56.16,61.19,112.34,14.21
634,4.83,2,36.17,51.63,59.04,129.25,24.64
635,4.92,2,42.95,53.31,51.94,105.51,23.75
636,5.0,2,37.62,49.45,71.04,145.23,21.87
637,5.08,2,39.12,54.77,62.32,116.6,24.48
638,5.17,2,46.52,57.79,73.21,149.36,24.08
639,5.25,2,39.57,51.52,63.95,123.12,19.55
640,5.33,2,42.04,52.68,61.31,123.01,18.15
641,5.42,2,44.12,57.23,73.53,147.31,27.81
642,5.5,2,43.18,55.5,66.86,137.9,26.02
643,5.58,2,43.72,51.1,52.46,104.19,20.05
644,5.67,2,43.06,53.99,65.81,123.43,23.82
645,5.75,2,39.13,52.15,59.74,117.46,9.78
646,5.83,2,45.35,55.9,74.99,147.94,24.59
647,5.92,2,42.0,53.91,87.01,163.94,18.5
648,6.0,2,47.72,55.45,75.28,143.39,32.78
649,6.08,2,50.24,57.96,92.24,168.3,27.16
650,6.17,2,39.55,51.9,56.97,107.66,12.0
651,6.25,2,51.12,64.83,71.36,140.67,19.93
652,6.33,2,45.3,55.63,67.39,135.72,21.57
653,6.42,2,46.72,55.99,74.46,149.54,21.51
654,6.5,2,44.42,58.67,63.18,135.1,20.75
655,6.58,2,48.7,54.19,60.55,126.43,26.11
656,6.67,2,48.71,56.7,73.63,141.78,20.01
657,6.75,2,52.67,56.8,69.06,129.63,22.88
658,6.83,2,46.73,57.3,80.01,152.73,27.79
659,6.92,2,55.57,59.02,86.83,163.54,30.06
660,7.0,2,52.5,59.79,71.93,140.3,27.04
661,7.08,2,50.91,58.93,79.74,157.99,21.33
662,7.17,2,50.38,59.23,71.07,140.33,19.77
663,7.25,2,50.36,58.71,75.01,152.9,22.42
664,7.33,2,51.0,57.5,75.86,148.53,22.86
665,7.42,2,52.84,55.98,75.72,139.92,23.07
666,7.5,2,51.92,60.38,83.95,158.26,25.21
667,7.58,2,50.81,60.68,67.02,132.65,24.15
668,7.67,2,54.06,57.45,84.17,162.65,24.79
669,7.75,2,50.92,59.39,78.54,157.91,20.86
670,7.83,2,78.37,67.93,155.33,289.63,24.8
671,7.92,2,53.84,59.63,73.25,140.97,26.24
672,8.0,2,73.14,68.73,94.02,171.36,52.08
673,8.08,2,74.54,67.69,101.51,188.69,53.82
674,8.17,2,74.91,68.9,105.28,201.04,54.02
675,8.25,2,57.22,62.45,76.24,148.29,16.2
676,8.33,2,57.99,60.88,92.35,179.2,31.38
677,8.42,2,55.7,58.71,90.3,174.79,21.66
678,8.5,2,59.55,59.35,96.33,182.83,30.38
679,8.58,2,60.29,61.35,72.34,135.21,26.77
680,8.67,2,52.37,56.22,93.43,178.18,18.78
681,8.75,2,59.51,61.03,87.74,167.71,22.05
682,8.83,2,63.3,62.55,91.34,181.27,23.07
683,8.92,2,57.58,62.52,83.28,166.55,21.87
684,9.0,2,57.13,60.86,72.99,138.98,17.21
685,9.08,2,57.98,66.18,87.45,164.3,21.3
686,9.17,2,54.48,55.49,93.27,171.12,27.49
687,9.25,2,60.48,62.84,88.81,169.03,29.4
688,9.33,2,60.43,61.29,78.59,149.09,22.4
689,9.42,2,61.29,60.67,76.34,160.45,17.83
690,9.5,2,86.36,73.8,176.37,321.88,34.11
691,9.58,2,58.34,61.04,79.05,152.58,20.27
692,9.67,2,62.34,65.21,95.43,178.56,21.58
693,9.75,2,63.18,63.61,101.78,193.33,24.66
694,9.83,2,60.16,60.69,90.95,172.04,23.53
695,9.92,2,63.57,64.27,90.6,177.14,22.73
696,10.0,2,62.6,62.71,89.06,172.52,22.85
697,10.08,2,60.33,59.9,87.96,172.22,23.07
698,10.17,2,63.73,63.18,82.2,154.19,23.08
699,10.25,2,61.92,63.33,94.12,184.82,22.88
700,10.33,2,65.57,64.65,85.03,160.65,25.17
701,10.42,2,62.47,63.77,98.89,180.97,27.03
702,10.5,2,58.96,60.48,82.85,158.22,25.74
703,10.58,2,64.57,64.69,99.14,189.01,23.97
704,10.67,2,64.6,64.31,80.73,149.07,24.88
705,10.75,2,60.15,62.33,93.78,183.16,30.42
706,10.83,2,66.7,65.08,105.94,196.64,30.62
707,10.92,2,66.64,69.34,84.72,158.23,28.85
708,11.0,2,61.27,64.79,87.62,167.72,18.23
709,11.08,2,62.12,63.54,92.22,180.28,25.96
710,11.17,2,64.03,62.21,94.91,174.75,23.31
711,11.25,2,61.96,62.3,86.64,170.65,21.66
712,11.33,2,66.94,68.35,91.2,164.16,25.3
713,11.42,2,65.29,63.25,95.37,183.32,30.51
714,11.5,2,61.0,62.12,91.02,168.19,28.8
715,11.58,2,62.0,62.46,84.38,157.9,23.02
716,11.67,2,69.08,66.82,91.3,183.02,27.61
717,11.75,2,70.33,65.78,109.09,201.42,25.9
718,11.83,2,66.87,65.44,96.1,182.7,25.76
719,11.92,2,64.26,63.09,77.11,143.46,30.05
720,12.0,2,83.96,75.41,125.49,239.72,61.48
721,12.08,2,87.41,72.96,115.12,219.26,55.57
722,12.17,2,85.74,75.54,118.42,225.91,62.73
723,12.25,2,79.82,69.75,113.78,220.46,67.96
724,12.33,2,89.03,73.36,109.97,206.25,60.2
725,12.42,2,69.59,64.91,96.2,188.53,33.59
726,12.5,2,67.41,61.91,106.43,209.03,29.32
727,12.58,2,60.95,63.3,96.85,185.75,29.94
728,12.67,2,62.47,60.78,87.64,162.22,29.12
729,12.75,2,58.11,60.44,90.46,166.81,25.24
730,12.83,2,70.11,68.07,105.91,202.86,25.08
731,12.92,2,63.18,64.89,97.19,179.4,26.5
732,13.0,2,72.49,64.75,92.81,170.35,29.05
733,13.08,2,71.04,67.59,113.38,218.51,31.65
734,13.17,2,83.3,74.76,167.21,308.68,21.82
735,13.25,2,61.46,61.38,89.63,183.42,19.65
736,13.33,2,65.43,65.47,90.7,169.97,27.3
737,13.42,2,57.5,58.59,85.84,162.02,25.71
738,13.5,2,61.94,63.65,82.42,160.15,22.02
739,13.58,2,61.42,62.9,86.91,167.45,26.78
740,13.67,2,69.61,67.64,99.99,189.56,30.11
741,13.75,2,63.5,64.77,101.0,191.26,25.1
742,13.83,2,61.74,60.08,97.92,202.48,31.15
743,13.92,2,60.32,62.42,96.63,192.23,31.55
744,14.0,2,65.45,67.36,100.49,195.1,26.85
745,14.08,2,60.36,57.79,102.21,187.84,28.45
746,14.17,2,61.69,64.7,86.71,165.71,18.64
747,14.25,2,59.39,64.93,85.01,166.32,29.14
748,14.33,2,56.07,57.26,80.69,158.99,29.88
749,14.42,2,57.64,59.6,83.68,167.02,20.35
750,14.5,2,59.11,62.64,74.44,140.79,27.24
751,14.58,2,59.68,60.08,88.73,169.52,17.42
752,14.67,2,59.55,64.53,90.43,169.0,21.74
753,14.75,2,59.73,63.99,84.61,168.97,22.85
754,14.83,2,58.04,58.35,70.58,140.54,18.61
755,14.92,2,64.17,62.39,92.17,173.38,25.09
756,15.0,2,62.46,64.65,79.59,154.39,24.4
757,15.08,2,58.36,62.72,88.45,169.46,27.06
758,15.17,2,59.4,66.17,87.24,162.63,18.79
759,15.25,2,56.88,58.84,85.0,167.65,26.71
760,15.33,2,47.9,59.48,64.0,125.58,18.82
761,15.42,2,57.59,59.09,94.2,176.92,19.28
762,15.5,2,58.24,62.21,86.26,160.77,23.78
763,15.58,2,51.18,59.82,69.1,138.66,25.81
764,15.67,2,58.22,55.21,89.5,172.44,22.62
765,15.75,2,55.13,61.63,81.94,154.01,25.84
766,15.83,2,56.93,63.39,98.01,183.93,25.35
767,15.92,2,54.5,61.72,75.98,146.78,36.16
768,16.0,2,75.74,73.19,95.9,182.95,52.22
769,16.08,2,71.77,69.23,103.44,197.15,51.82
770,16.17,2,74.1,67.27,112.02,202.79,57.5
771,16.25,2,57.64,63.42,102.75,195.56,24.2
772,16.33,2,49.53,56.1,101.79,187.13,23.39
773,16.42,2,50.47,57.88,63.15,130.76,15.59
774,16.5,2,54.23,61.07,79.0,157.41,23.07
775,16.58,2,50.97,58.83,66.21,134.96,19.92
776,16.67,2,51.01,60.65,74.23,133.61,20.83
777,16.75,2,55.93,65.15,101.94,191.99,25.01
778,16.83,2,49.93,55.19,68.36,132.65,22.26
779,16.92,2,47.21,55.59,71.47,141.52,24.89
780,17.0,2,47.26,56.9,67.06,135.22,25.63
781,17.08,2,57.39,59.9,75.84,152.94,23.64
782,17.17,2,48.71,56.77,87.79,158.02,23.37
783,17.25,2,44.13,56.41,55.64,106.14,12.9
784,17.33,2,42.28,55.31,65.08,127.43,21.83
785,17.42,2,45.86,56.13,70.73,141.46,25.68
786,17.5,2,46.92,56.41,71.04,141.89,18.09
787,17.58,2,50.5,57.28,73.07,143.91,25.65
788,17.67,2,49.73,60.19,87.59,164.47,20.62
789,17.75,2,46.29,59.16,55.54,107.43,19.26
790,17.83,2,44.28,56.96,71.63,135.79,26.77
791,17.92,2,46.62,53.68,74.8,139.73,21.52
792,18.0,2,38.88,51.97,63.95,120.14,23.19
793,18.08,2,51.5,58.57,70.15,130.82,15.06
794,18.17,2,46.42,54.01,80.34,156.29,19.16
795,18.25,2,46.73,56.19,80.31,155.18,24.53
796,18.33,2,39.5,52.82,55.47,105.21,20.37
797,18.42,2,47.31,58.46,62.19,113.39,21.09
798,18.5,2,40.78,52.35,52.81,103.2,22.61
799,18.58,2,38.62,54.71,63.15,131.07,16.33
800,18.67,2,41.39,51.71,65.04,127.11,25.22
801,18.75,2,40.88,51.76,61.17,124.1,19.37
802,18.83,2,36.9,50.84,75.93,147.57,15.96
803,18.92,2,37.11,51.8,55.85,110.24,16.28
804,19.0,2,36.42,46.55,60.2,111.0,18.78
805,19.08,2,36.03,52.13,56.68,109.99,17.3
806,19.17,2,37.63,55.35,75.86,143.87,21.51
807,19.25,2,64.69,65.41,155.06,296.52,25.99
808,19.33,2,35.74,50.66,55.41,110.65,17.51
809,19.42,2,41.41,51.46,69.61,141.68,21.77
810,19.5,2,40.23,49.48,61.49,126.33,17.94
811,19.58,2,33.27,46.69,44.49,85.85,20.28
812,19.67,2,39.9,52.69,64.29,125.74,21.28
813,19.75,2,29.27,52.39,37.16,85.3,18.46
814,19.83,2,44.27,49.49,73.48,145.08,19.63
815,19.92,2,39.93,54.37,59.61,119.81,17.46
816,20.0,2,51.04,56.61,71.59,143.43,52.99
817,20.08,2,53.96,58.61,88.12,171.02,52.94
818,20.17,2,47.35,54.43,63.79,127.55,44.8
819,20.25,2,34.1,47.61,43.58,89.96,16.79
820,20.33,2,32.89,50.05,47.18,93.22,23.58
821,20.42,2,30.25,49.14,67.68,126.53,21.5
822,20.5,2,31.18,50.37,44.39,80.62,13.12
823,20.58,2,30.5,45.35,54.52,106.49,17.67
824,20.67,2,28.18,49.43,55.57,112.2,18.72
825,20.75,2,28.81,49.75,42.05,86.89,21.18
826,20.83,2,26.44,47.75,39.22,83.78,17.12
827,20.92,2,34.17,49.53,57.45,112.77,20.48
828,21.0,2,27.6,48.03,49.92,113.46,20.62
829,21.08,2,26.28,46.5,57.31,123.3,20.83
830,21.17,2,33.2,51.88,48.69,90.05,17.58
831,21.25,2,31.26,48.33,49.49,102.36,18.0
832,21.33,2,32.49,49.84,76.7,152.91,15.09
833,21.42,2,32.61,46.2,39.79,71.62,17.06
834,21.5,2,35.91,51.77,43.1,88.41,17.35
835,21.58,2,28.32,46.25,37.93,80.85,16.33
836,21.67,2,23.52,46.61,52.03,103.63,15.5
837,21.75,2,29.32,49.77,46.68,95.95,20.58
838,21.83,2,25.79,45.39,42.44,86.79,17.84
839,21.92,2,24.55,46.11,36.74,79.64,11.02
840,22.0,2,28.03,47.96,55.98,118.51,19.21
841,22.08,2,30.5,49.46,40.65,87.03,15.43
842,22.17,2,24.33,47.53,39.55,87.06,11.73
843,22.25,2,31.52,50.5,45.42,86.47,13.31
844,22.33,2,23.41,44.77,28.09,70.7,16.53
845,22.42,2,25.84,49.82,42.18,87.5,20.7
846,22.5,2,27.87,49.05,47.98,94.4,16.13
847,22.58,2,25.0,49.06,38.8,81.91,20.0
848,22.67,2,19.99,44.69,36.84,73.59,15.34
849,22.75,2,29.31,49.0,48.23,97.5,8.7
850,22.83,2,23.74,45.45,42.43,87.88,18.38
851,22.92,2,28.41,46.9,40.65,79.75,14.93
852,23.0,2,21.26,46.52,31.62,67.69,12.07
853,23.08,2,21.75,45.31,41.47,81.14,17.91
854,23.17,2,28.49,47.56,37.38,73.75,17.66
855,23.25,2,26.58,44.91,45.18,86.27,16.37
856,23.33,2,23.77,48.81,56.61,110.02,16.33
857,23.42,2,26.48,47.14,46.46,90.87,13.23
858,23.5,2,21.83,42.37,26.59,60.22,22.54
859,23.58,2,25.5,46.64,47.04,100.16,17.07
860,23.67,2,25.53,46.08,52.18,107.23,17.02
861,23.75,2,23.73,45.2,37.12,81.68,15.59
862,23.83,2,22.1,46.1,39.12,84.86,9.06
863,23.92,2,25.25,45.96,38.28,74.27,13.61
864,0.0,3,54.56,58.94,76.77,146.52,63.37
865,0.08,3,53.12,61.63,73.42,151.06,62.62
866,0.17,3,80.01,67.52,186.63,343.22,68.46
867,0.25,3,54.83,59.57,94.07,188.59,65.79
868,0.33,3,23.45,47.41,43.6,86.4,15.95
869,0.42,3,21.5,45.93,28.46,51.23,9.69
870,0.5,3,25.32,48.44,65.62,126.89,19.13
871,0.58,3,30.86,52.93,56.7,116.29,18.91
872,0.67,3,24.02,49.21,50.12,108.53,15.08
873,0.75,3,30.63,46.47,51.24,94.85,26.31
874,0.83,3,32.87,46.57,56.31,115.5,17.26
875,0.92,3,22.24,45.66,38.95,84.57,18.75
876,1.0,3,25.71,43.86,53.09,112.06,17.27
877,1.08,3,33.16,46.07,50.98,91.76,24.05
878,1.17,3,51.72,58.91,146.52,282.02,27.27
879,1.25,3,26.19,47.92,54.18,109.73,15.35
880,1.33,3,20.36,47.58,49.4,101.21,14.04
881,1.42,3,24.5,47.56,52.65,109.97,10.76
882,1.5,3,28.47,51.65,40.97,73.75,17.58
883,1.58,3,35.2,51.55,69.82,140.75,21.42
884,1.67,3,26.19,44.51,51.74,115.01,16.3
885,1.75,3,21.24,46.2,42.94,80.44,20.91
886,1.83,3,22.34,47.72,45.18,91.0,16.17
887,1.92,3,27.34,48.09,46.54,93.96,21.82
888,2.0,3,31.8,52.21,49.43,100.75,17.3
889,2.08,3,30.13,48.31,48.21,98.91,12.89
890,2.17,3,29.74,49.48,61.0,116.44,14.94
891,2.25,3,32.95,49.48,55.19,109.54,18.11
892,2.33,3,26.1,51.5,48.57,106.14,13.53
893,2.42,3,28.94,49.7,50.21,102.4,10.61
894,2.5,3,27.31,45.06,42.43,88.22,8.82
895,2.58,3,28.45,51.51,34.14,67.88,21.17
896,2.67,3,26.16,45.3,52.54,111.26,18.08
897,2.75,3,28.76,47.97,54.81,107.58,18.29
898,2.83,3,30.16,49.51,51.1,91.98,18.21
899,2.92,3,29.25,49.26,41.38,86.59,15.12
900,3.0,3,30.29,49.6,65.92,132.19,20.75
901,3.08,3,32.59,47.4,51.38,100.98,11.19
902,3.17,3,35.82,52.09,59.97,107.95,10.62
903,3.25,3,36.4,53.58,53.06,99.92,18.29
904,3.33,3,34.81,52.81,45.97,92.18,19.22
905,3.42,3,28.07,45.03,53.4,104.17,13.48
906,3.5,3,31.56,47.89,40.87,85.77,11.52
907,3.58,3,66.45,62.81,182.17,340.86,28.98
908,3.67,3,31.23,49.73,54.33,105.61,16.16
909,3.75,3,35.09,47.69,48.15,89.67,21.55
910,3.83,3,28.67,45.66,39.04,87.53,22.39
911,3.92,3,40.55,51.92,57.5,116.3,13.72
912,4.0,3,54.88,56.1,75.84,149.86,48.12
913,4.08,3,52.75,58.68,66.06,130.83,47.73
914,4.17,3,35.55,46.78,48.66,103.07,21.86
915,4.25,3,40.46,54.18,64.15,123.57,17.98
916,4.33,3,38.96,51.74,77.67,153.95,19.96
917,4.42,3,40.82,52.12,72.04,143.02,23.14
918,4.5,3,37.14,50.79,60.85,122.71,21.04
919,4.58,3,44.01,54.69,76.84,142.34,27.24
920,4.67,3,42.24,55.2,74.94,145.58,17.09
921,4.75,3,40.35,55.79,60.99,121.71,20.92
922,4.83,3,43.38,56.55,69.12,143.31,20.5
923,4.92,3,37.94,56.53,68.35,133.52,18.66
924,5.0,3,35.74,52.43,66.8,135.65,21.29
925,5.08,3,41.37,53.9,73.64,135.12,20.81
926,5.17,3,40.47,52.3,55.35,106.05,15.85
927,5.25,3,40.41,52.34,72.89,143.39,23.91
928,5.33,3,45.78,56.68,84.81,164.8,23.81
929,5.42,3,42.54,52.15,78.0,146.81,26.53
930,5.5,3,43.31,54.95,58.29,119.7,23.74
931,5.58,3,41.68,53.72,54.32,106.93,19.57
932,5.67,3,46.34,54.4,74.33,142.84,20.76
933,5.75,3,46.15,53.66,82.18,157.53,25.68
934,5.83,3,47.19,61.28,73.43,148.87,18.73
935,5.92,3,42.82,51.48,64.51,131.56,17.09
936,6.0,3,49.56,57.17,73.76,152.18,23.27
937,6.08,3,51.87,60.79,85.41,166.49,16.99
938,6.17,3,48.82,58.03,71.01,147.47,23.6
939,6.25,3,43.48,53.62,71.02,139.02,22.75
940,6.33,3,43.94,52.39,66.68,129.39,20.0
941,6.42,3,45.86,55.9,62.93,121.08,27.1
942,6.5,3,45.64,50.26,62.03,120.77,25.92
943,6.58,3,47.79,56.85,76.55,147.16,18.84
944,6.67,3,50.69,57.88,60.82,116.05,25.29
945,6.75,3,49.92,59.6,78.73,148.77,26.42
946,6.83,3,50.04,55.23,73.68,145.66,22.84
947,6.92,3,48.91,56.36,81.26,153.83,20.5
948,7.0,3,49.92,58.34,79.71,144.98,18.04
949,7.08,3,53.38,59.43,79.42,144.2,21.11
950,7.17,3,43.97,52.1,59.23,106.61,16.65
951,7.25,3,51.39,56.83,68.56,126.32,26.5
952,7.33,3,52.85,61.58,73.26,135.87,22.19
953,7.42,3,54.99,60.26,87.94,163.42,25.83
954,7.5,3,49.12,53.78,88.09,170.0,27.32
955,7.58,3,49.33,58.97,76.84,141.95,23.18
956,7.67,3,55.5,56.77,76.88,143.79,28.58
957,7.75,3,47.18,55.62,67.74,122.77,20.39
958,7.83,3,58.9,62.63,82.17,154.6,26.27
959,7.92,3,55.41,62.36,89.82,175.29,24.67
960,8.0,3,85.66,68.87,114.12,215.31,66.42
961,8.08,3,76.78,70.97,106.78,202.62,65.76
962,8.17,3,79.42,72.46,121.07,227.91,73.32
963,8.25,3,72.89,66.69,97.93,179.84,64.65
964,8.33,3,53.69,59.34,83.88,158.94,16.77
965,8.42,3,56.18,54.18,89.62,172.43,22.66
966,8.5,3,50.31,52.14,75.87,151.42,19.56
967,8.58,3,56.14,62.48,98.0,188.21,25.86
968,8.67,3,50.9,56.83,89.4,175.33,25.18
969,8.75,3,57.29,60.09,85.85,159.09,25.75
970,8.83,3,62.53,63.61,83.6,152.97,23.99
971,8.92,3,58.71,60.69,79.4,144.15,24.91
972,9.0,3,64.95,63.31,94.64,184.43,24.98
973,9.08,3,62.2,63.78,80.92,148.46,19.76
974,9.17,3,64.46,61.02,94.51,185.42,25.67
975,9.25,3,57.36,63.13,97.34,182.98,34.89
976,9.33,3,57.56,60.44,84.57,170.57,20.27
977,9.42,3,61.81,60.8,89.02,167.99,18.03
978,9.5,3,55.35,57.62,88.24,166.86,29.53
979,9.58,3,62.78,63.34,94.53,180.49,27.49
980,9.67,3,60.25,61.5,78.11,148.53,26.25
981,9.75,3,66.28,61.73,90.9,175.71,25.14
982,9.83,3,64.25,62.71,107.25,197.82,26.97
983,9.92,3,65.94,63.05,96.73,185.04,26.69
984,10.0,3,59.68,64.38,78.57,147.66,30.16
985,10.08,3,66.2,65.05,92.91,176.21,30.22
986,10.17,3,67.8,68.65,82.1,150.9,29.36
987,10.25,3,62.8,61.84,75.5,150.27,22.97
988,10.33,3,60.54,61.66,95.5,180.13,26.05
989,10.42,3,60.78,63.12,87.9,172.8,22.73
990,10.5,3,67.81,66.72,100.53,187.27,31.87
991,10.58,3,73.04,69.31,111.91,211.38,25.4
